"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
017000,5,,5,,92,,4,,89,,5,,88,,5,,92,,85,,652,,23,,
017009,5,,5,,93,,5,,93,,5,,87,,4,,92,,88,,316,,33,,
017013,5,,5,,93,,4,,91,,5,,90,,5,,91,,88,,247,,37,,
017014,4,,5,,90,,3,,86,,5,,89,,4,,91,,82,,114,,31,,
017016,4,,4,,91,,4,,90,,5,,90,,4,,90,,84,,212,,30,,
017018,5,,5,,93,,5,,93,,4,,86,,5,,91,,87,,318,,28,,
017020,5,,5,,91,,4,,88,,5,,87,,4,,88,,85,,268,,21,,
017024,4,,4,,89,,4,,87,,4,,86,,3,,86,,81,,471,,29,,
017025,4,,4,,89,,4,,86,,3,,83,,3,,84,,81,,394,,22,,
017026,4,,4,,89,,4,,87,,3,,80,,3,,85,,81,,378,,25,,
017027,5,,5,,90,,4,,89,,5,,88,,4,,88,,82,,601,,29,,
017034,3,,5,,92,,3,,86,,3,,81,,2,,86,,82,,250,,27,,
017035,3,,4,,89,,3,,86,,3,,83,,3,,84,,82,,504,,24,,
017037,3,,4,,90,,3,,87,,3,,83,,3,,85,,79,,266,,26,,
017039,2,,3,,86,,2,,80,,2,,74,,2,,78,,73,,294,,20,,
017048,4,,5,,92,,4,,91,,4,,85,,4,,89,,91,,149,,34,,
017050,Not Available,11,Not Available,11,98,11,Not Available,11,87,11,Not Available,11,82,11,Not Available,11,92,11,86,11,26,11,26,11,11
017051,3,,4,,88,,3,,85,,3,,82,,3,,85,,76,,277,,20,,
017052,4,,5,,92,,4,,90,,4,,84,,4,,88,,85,,338,,36,,
017053,4,,4,,89,,4,,87,,4,,86,,4,,88,,86,,345,,36,,
017054,4,,5,,91,,4,,86,,3,,82,,4,,86,,84,,218,,21,,
017055,4,,5,,92,,4,,90,,4,,84,,4,,86,,84,,233,,29,,
017056,4,,4,,89,,4,,87,,3,,81,,3,,87,,79,,169,,22,,
017058,4,,5,,91,,4,,87,,4,,84,,4,,88,,83,,423,,32,,
017063,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017066,5,,5,,92,,4,,88,,5,,87,,5,,89,,85,,148,,27,,
017069,5,,5,,91,,4,,91,,5,,90,,4,,87,,84,,323,,31,,
017070,5,,5,,94,,5,,93,,5,,87,,5,,94,,92,,122,,25,,
017071,5,,5,,92,,4,,90,,5,,88,,4,,88,,86,,335,,32,,
017072,3,,4,,90,,3,,87,,3,,82,,2,,83,,76,,107,,24,,
017078,5,,5,,95,,5,,93,,5,,88,,5,,94,,90,,127,,28,,
017079,5,,4,,91,,4,,91,,5,,91,,5,,91,,90,,76,,35,,
017080,4,,4,,91,,4,,89,,5,,91,,4,,89,,83,,290,,22,,
017082,2,,2,,83,,2,,83,,2,,79,,2,,82,,69,,299,,19,,
017084,4,,5,,92,,4,,90,,4,,85,,3,,87,,79,,104,,27,,
017085,4,,4,,90,,3,,86,,5,,88,,4,,86,,78,,175,,27,,
017086,4,,5,,93,,4,,91,,4,,84,,3,,88,,83,,97,,26,,
017088,5,,5,,93,,5,,94,,4,,86,,5,,91,,85,,111,,28,,
017089,4,,5,,91,,4,,89,,4,,85,,3,,87,,82,,219,,31,,
017090,5,,5,,93,,4,,90,,5,,88,,4,,90,,85,,126,,27,,
017091,5,,5,,93,,3,,86,,5,,88,,5,,95,,81,,100,,46,,
017092,5,11,5,11,96,11,5,11,95,11,5,11,88,11,5,11,98,11,96,11,52,11,29,11,11
017093,4,,5,,93,,4,,90,,5,,88,,3,,89,,88,,105,,27,,
017094,5,,5,,93,,5,,92,,5,,88,,5,,89,,91,,155,,30,,
017095,5,,5,,91,,4,,89,,5,,87,,4,,88,,82,,254,,32,,
017096,5,,5,,92,,4,,88,,5,,87,,4,,84,,81,,173,,27,,
017097,5,,5,,92,,4,,90,,5,,90,,4,,89,,87,,113,,34,,
017100,5,11,5,11,93,11,5,11,93,11,4,11,86,11,5,11,97,11,89,11,57,11,23,11,11
017103,4,,4,,89,,4,,85,,3,,83,,4,,92,,91,,77,,29,,
017104,5,,5,,97,,5,,92,,5,,91,,5,,94,,90,,116,,33,,
017106,Not Available,11,Not Available,11,93,11,Not Available,11,84,11,Not Available,11,87,11,Not Available,11,88,11,89,11,38,11,21,11,11
017107,5,,5,,91,,4,,89,,5,,90,,4,,88,,86,,218,,29,,
017109,5,11,5,11,93,11,5,11,94,11,5,11,92,11,5,11,93,11,91,11,48,11,28,11,11
017112,5,,5,,93,,5,,93,,5,,88,,5,,95,,96,,71,,23,,
017115,4,,4,,89,,4,,87,,5,,88,,3,,86,,83,,153,,32,,
017116,4,,5,,93,,4,,86,,4,,85,,4,,89,,82,,222,,37,,
017117,5,,5,,94,,4,,88,,4,,86,,5,,95,,89,,110,,39,,
017118,5,,5,,93,,5,,91,,5,,89,,3,,85,,84,,128,,22,,
017119,3,,4,,87,,3,,85,,3,,82,,2,,79,,77,,575,,29,,
017121,4,,5,,91,,4,,90,,4,,85,,4,,90,,88,,169,,32,,
017123,5,,5,,91,,4,,91,,5,,90,,4,,92,,91,,189,,28,,
017124,4,,5,,93,,4,,89,,3,,81,,3,,86,,85,,79,,34,,
017125,5,,5,,92,,4,,90,,5,,88,,4,,89,,84,,348,,30,,
017128,5,,5,,92,,4,,92,,5,,88,,4,,92,,88,,567,,32,,
017129,5,,5,,91,,4,,86,,5,,87,,4,,86,,84,,340,,28,,
017130,4,,5,,93,,4,,89,,5,,88,,3,,83,,84,,102,,27,,
017132,4,,4,,91,,4,,88,,4,,86,,3,,83,,80,,141,,21,,
017134,5,,5,,93,,4,,89,,5,,87,,4,,89,,86,,342,,31,,
017135,5,11,5,11,92,11,4,11,87,11,5,11,87,11,4,11,94,11,88,11,64,11,26,11,11
017136,Not Available,11,Not Available,11,98,11,Not Available,11,93,11,Not Available,11,85,11,Not Available,11,96,11,96,11,36,11,32,11,11
017138,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017140,5,11,5,11,99,11,5,11,97,11,5,11,92,11,5,11,98,11,99,11,41,11,45,11,11
017142,4,,4,,87,,3,,85,,5,,89,,4,,91,,80,,111,,27,,
017143,4,,5,,91,,4,,90,,5,,91,,3,,89,,86,,152,,29,,
017145,4,,4,,90,,4,,91,,5,,87,,4,,93,,89,,296,,26,,
017146,5,11,5,11,96,11,5,11,98,11,5,11,93,11,5,11,94,11,92,11,46,11,33,11,11
017147,4,,4,,90,,4,,87,,5,,88,,4,,85,,83,,140,,26,,
017148,4,,4,,90,,4,,88,,4,,84,,3,,86,,86,,361,,28,,
017149,4,,4,,87,,3,,85,,4,,84,,3,,86,,81,,322,,23,,
017151,4,,4,,91,,4,,90,,5,,89,,3,,84,,88,,172,,30,,
017152,5,,5,,93,,5,,93,,5,,90,,5,,92,,96,,92,,27,,
017153,4,,5,,92,,3,,87,,3,,83,,3,,88,,86,,759,,36,,
017154,4,,4,,91,,3,,85,,4,,86,,3,,83,,83,,106,,24,,
017155,3,,4,,88,,3,,85,,3,,81,,3,,86,,72,,163,,29,,
017157,4,,3,,86,,4,,88,,5,,87,,3,,80,,77,,117,,23,,
017158,5,,5,,92,,4,,90,,5,,88,,4,,92,,87,,290,,27,,
017159,4,,4,,91,,4,,90,,4,,86,,4,,89,,86,,293,,26,,
017160,5,,5,,93,,4,,92,,5,,93,,4,,89,,85,,93,,26,,
017161,4,,4,,89,,4,,89,,2,,79,,4,,89,,85,,250,,25,,
017163,4,,4,,90,,3,,87,,3,,82,,4,,88,,83,,121,,27,,
017164,5,,5,,92,,4,,89,,5,,88,,4,,91,,86,,324,,31,,
017165,4,,5,,92,,4,,89,,4,,86,,4,,89,,84,,267,,26,,
017166,4,,4,,91,,4,,89,,3,,80,,3,,86,,78,,126,,27,,
017167,4,,5,,92,,4,,90,,3,,82,,4,,92,,83,,114,,26,,
017168,4,,5,,91,,4,,87,,4,,86,,4,,87,,83,,277,,26,,
017170,5,,5,,93,,5,,93,,5,,88,,5,,93,,88,,226,,28,,
017171,4,,4,,91,,4,,89,,3,,83,,4,,85,,84,,276,,32,,
017175,3,,4,,87,,3,,85,,3,,81,,3,,86,,80,,214,,27,,
017176,3,,4,,90,,3,,83,,2,,78,,3,,84,,76,,451,,33,,
017177,5,,5,,93,,4,,90,,5,,88,,4,,92,,86,,190,,28,,
017178,4,,5,,91,,4,,87,,3,,83,,4,,88,,82,,258,,27,,
017179,2,,3,,87,,2,,82,,2,,78,,2,,81,,72,,327,,21,,
017180,3,,4,,88,,2,,82,,2,,78,,3,,80,,78,,132,,22,,
017182,4,,4,,89,,4,,88,,3,,81,,3,,87,,79,,259,,27,,
017300,5,,5,,92,,4,,89,,5,,89,,4,,89,,86,,314,,26,,
017305,5,,5,,91,,4,,90,,5,,88,,4,,91,,86,,342,,28,,
017307,4,,5,,92,,4,,87,,3,,80,,4,,91,,82,,138,,27,,
017319,3,,4,,89,,4,,87,,2,,79,,3,,86,,80,,294,,25,,
017320,4,,4,,90,,4,,90,,5,,89,,4,,91,,81,,299,,25,,
017323,5,,5,,96,,4,,89,,5,,91,,5,,89,,84,,197,,42,,
017324,5,,5,,90,,4,,88,,5,,88,,4,,87,,82,,305,,32,,
017326,4,,4,,89,,4,,87,,5,,87,,4,,91,,81,,291,,32,,
017327,5,,5,,93,,4,,90,,5,,87,,4,,91,,91,,119,,26,,
017328,4,,4,,91,,4,,87,,4,,85,,4,,91,,84,,129,,29,,
017831,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017876,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017878,5,,5,,94,,4,,88,,5,,90,,5,,91,,87,,192,,36,,
017879,5,,5,,96,,4,,92,,4,,86,,5,,95,,90,,120,,40,,
027001,2,,2,,83,,2,,81,,2,,73,,2,,78,,71,,107,,23,,
027002,Not Available,11,Not Available,11,97,11,Not Available,11,96,11,Not Available,11,75,11,Not Available,11,100,11,100,11,24,11,23,11,11
027006,3,11,4,11,87,11,3,11,87,11,4,11,84,11,2,11,74,11,75,11,45,11,18,11,11
027008,3,,4,,88,,4,,85,,2,,76,,3,,86,,81,,173,,18,,
027009,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027010,Not Available,11,Not Available,11,99,11,Not Available,11,91,11,Not Available,11,87,11,Not Available,11,96,11,88,11,28,11,20,11,11
027014,Not Available,11,Not Available,11,97,11,Not Available,11,95,11,Not Available,11,93,11,Not Available,11,91,11,97,11,20,11,22,11,11
027020,Not Available,"10,11",Not Available,"10,11",87,"10,11",Not Available,"10,11",85,"10,11",Not Available,"10,11",84,"10,11",Not Available,"10,11",82,"10,11",73,"10,11",32,"10,11",14,"10,11","10,11"
027022,3,11,4,11,87,11,2,11,82,11,4,11,85,11,3,11,79,11,71,11,53,11,24,11,11
027032,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027034,4,11,4,11,87,11,4,11,85,11,5,11,88,11,2,11,83,11,79,11,62,11,24,11,11
027035,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027036,Not Available,11,Not Available,11,85,11,Not Available,11,86,11,Not Available,11,73,11,Not Available,11,73,11,83,11,34,11,17,11,11
027037,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027038,3,11,4,11,84,11,3,11,79,11,3,11,80,11,3,11,82,11,77,11,44,11,14,11,11
037015,4,,4,,90,,4,,87,,3,,80,,4,,88,,81,,1298,,24,,
037016,2,,3,,85,,2,,81,,1,,69,,2,,79,,68,,243,,18,,
037020,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037024,3,,4,,89,,3,,87,,2,,76,,3,,89,,84,,212,,22,,
037027,4,,3,,85,,5,,92,,3,,80,,4,,91,,75,,85,,20,,
037030,4,,5,,92,,4,,92,,4,,84,,4,,91,,86,,237,,38,,
037036,4,,4,,88,,4,,87,,3,,80,,4,,91,,77,,113,,28,,
037037,4,,4,,89,,4,,87,,3,,80,,3,,85,,84,,283,,31,,
037042,4,,4,,90,,4,,87,,2,,78,,4,,88,,82,,90,,24,,
037047,5,,5,,93,,4,,90,,5,,88,,5,,92,,85,,82,,23,,
037050,5,,5,,91,,5,,92,,4,,86,,4,,91,,86,,145,,32,,
037057,5,,5,,92,,4,,90,,5,,93,,4,,82,,78,,76,,32,,
037068,Not Available,9,Not Available,9,89,9,Not Available,9,82,9,Not Available,9,36,9,Not Available,9,100,9,100,9,2,9,29,9,9
037070,3,,3,,88,,2,,84,,3,,80,,3,,81,,78,,315,,25,,
037099,3,,4,,90,,3,,88,,3,,80,,3,,85,,82,,119,,25,,
037101,Not Available,9,Not Available,9,100,9,Not Available,9,76,9,Not Available,9,98,9,Not Available,9,100,9,100,9,1,9,11,9,9
037106,3,,4,,90,,4,,90,,2,,76,,3,,86,,75,,135,,23,,
037112,3,,3,,84,,3,,82,,2,,74,,2,,82,,72,,151,,24,,
037114,4,,5,,91,,3,,84,,4,,85,,4,,88,,85,,130,,28,,
037118,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037125,Not Available,11,Not Available,11,93,11,Not Available,11,91,11,Not Available,11,85,11,Not Available,11,92,11,90,11,33,11,22,11,11
037129,4,11,5,11,94,11,4,11,86,11,2,11,72,11,4,11,88,11,82,11,61,11,30,11,11
037130,4,,4,,90,,4,,88,,3,,83,,4,,88,,83,,325,,34,,
037132,2,,2,,82,,2,,79,,2,,75,,2,,79,,69,,222,,12,,
037139,3,,3,,87,,4,,87,,2,,79,,3,,81,,76,,199,,32,,
037144,2,,3,,86,,2,,83,,2,,77,,2,,79,,75,,152,,31,,
037154,4,,4,,90,,3,,85,,5,,88,,3,,82,,78,,129,,28,,
037162,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037178,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037179,Not Available,11,Not Available,11,92,11,Not Available,11,90,11,Not Available,11,84,11,Not Available,11,83,11,82,11,39,11,28,11,11
037185,3,,3,,86,,4,,88,,3,,80,,2,,80,,75,,84,,22,,
037188,4,,4,,88,,4,,90,,3,,82,,3,,85,,81,,121,,24,,
037192,4,,4,,88,,4,,87,,4,,85,,2,,83,,78,,241,,30,,
037199,4,,5,,93,,4,,90,,4,,86,,4,,91,,88,,290,,28,,
037202,2,,2,,81,,2,,76,,2,,76,,1,,73,,67,,221,,21,,
037204,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037205,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037206,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037212,Not Available,11,Not Available,11,94,11,Not Available,11,88,11,Not Available,11,77,11,Not Available,11,84,11,75,11,23,11,15,11,11
037213,3,,4,,88,,4,,86,,2,,79,,3,,83,,84,,355,,33,,
037215,3,11,3,11,83,11,4,11,86,11,2,11,76,11,2,11,74,11,72,11,56,11,22,11,11
037216,Not Available,9,Not Available,9,98,9,Not Available,9,98,9,Not Available,9,86,9,Not Available,9,97,9,48,9,2,9,29,9,9
037217,3,,4,,87,,2,,84,,2,,78,,3,,81,,77,,301,,30,,
037220,2,,2,,81,,2,,79,,2,,73,,1,,73,,67,,145,,17,,
037221,4,,4,,91,,4,,86,,4,,84,,4,,88,,81,,260,,34,,
037224,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037226,3,,3,,85,,3,,84,,2,,78,,3,,88,,78,,139,,18,,
037228,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037229,Not Available,9,Not Available,9,82,9,Not Available,9,66,9,Not Available,9,82,9,Not Available,9,50,9,74,9,5,9,12,9,9
037230,4,,5,,91,,4,,89,,3,,81,,4,,88,,78,,109,,33,,
037231,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037232,3,11,3,11,86,11,2,11,79,11,3,11,81,11,3,11,89,11,80,11,56,11,17,11,11
037233,Not Available,11,Not Available,11,58,11,Not Available,11,76,11,Not Available,11,84,11,Not Available,11,53,11,52,11,27,11,17,11,11
037234,2,,3,,87,,2,,81,,2,,75,,2,,78,,71,,357,,23,,
037235,3,,4,,89,,3,,87,,1,,70,,3,,84,,73,,192,,12,,
037239,2,,2,,84,,2,,83,,2,,78,,2,,80,,79,,86,,17,,
037242,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037243,Not Available,9,Not Available,9,80,9,Not Available,9,91,9,Not Available,9,81,9,Not Available,9,100,9,67,9,4,9,11,9,9
037245,3,,3,,86,,3,,85,,2,,73,,3,,83,,73,,146,,20,,
037246,3,11,3,11,87,11,3,11,81,11,2,11,72,11,4,11,88,11,75,11,59,11,21,11,11
037247,4,,4,,88,,4,,86,,4,,85,,4,,90,,81,,186,,32,,
037248,3,,4,,89,,4,,89,,2,,77,,3,,83,,76,,237,,28,,
037249,3,,3,,85,,3,,85,,2,,75,,3,,86,,72,,87,,13,,
037250,3,11,3,11,83,11,3,11,82,11,4,11,84,11,2,11,81,11,71,11,62,11,18,11,11
037251,Not Available,11,Not Available,11,82,11,Not Available,11,77,11,Not Available,11,64,11,Not Available,11,64,11,60,11,19,11,19,11,11
037252,4,,4,,91,,4,,87,,4,,85,,4,,89,,88,,206,,29,,
037253,3,,3,,84,,2,,81,,3,,83,,2,,75,,69,,151,,17,,
037254,3,11,3,11,87,11,3,11,81,11,3,11,82,11,2,11,80,11,78,11,57,11,22,11,11
037257,Not Available,9,Not Available,9,66,9,Not Available,9,65,9,Not Available,9,76,9,Not Available,9,90,9,34,9,7,9,6,9,9
037258,1,11,1,11,75,11,1,11,73,11,1,11,58,11,1,11,65,11,52,11,64,11,13,11,11
037260,2,,3,,84,,2,,79,,1,,63,,1,,77,,73,,170,,18,,
037261,Not Available,11,Not Available,11,78,11,Not Available,11,78,11,Not Available,11,49,11,Not Available,11,63,11,55,11,19,11,15,11,11
037262,2,,3,,85,,2,,84,,2,,78,,2,,77,,65,,308,,19,,
037263,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037264,2,,3,,84,,1,,79,,2,,72,,2,,76,,75,,141,,30,,
037265,2,11,2,11,79,11,2,11,75,11,1,11,60,11,1,11,68,11,67,11,47,11,24,11,11
037269,2,,2,,84,,2,,82,,1,,70,,2,,80,,68,,82,,15,,
037271,3,,4,,86,,2,,81,,2,,73,,2,,83,,73,,318,,15,,
037272,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037273,1,11,1,11,81,11,1,11,82,11,1,11,68,11,1,11,74,11,68,11,53,11,22,11,11
037274,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037280,3,,3,,87,,3,,85,,3,,82,,3,,86,,77,,221,,32,,
037281,3,,4,,88,,3,,86,,3,,83,,3,,86,,78,,225,,27,,
037282,4,,5,,94,,3,,88,,4,,84,,5,,94,,81,,89,,25,,
037285,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037286,Not Available,"9,10",Not Available,"9,10",80,"9,10",Not Available,"9,10",81,"9,10",Not Available,"9,10",55,"9,10",Not Available,"9,10",87,"9,10",49,"9,10",7,"9,10",13,"9,10","9,10"
037288,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037290,2,11,2,11,83,11,2,11,79,11,1,11,71,11,3,11,87,11,77,11,51,11,14,11,11
037294,4,11,5,11,92,11,2,11,84,11,4,11,85,11,4,11,79,11,91,11,52,11,26,11,11
037295,1,,2,,82,,1,,76,,1,,68,,1,,73,,65,,221,,19,,
037297,4,11,5,11,89,11,3,11,84,11,4,11,84,11,3,11,84,11,84,11,55,11,19,11,11
037298,3,,4,,89,,3,,88,,2,,75,,3,,87,,81,,106,,20,,
037299,Not Available,11,Not Available,11,94,11,Not Available,11,98,11,Not Available,11,85,11,Not Available,11,96,11,88,11,23,11,21,11,11
037402,3,,4,,89,,4,,87,,2,,79,,3,,87,,81,,353,,30,,
037403,3,,4,,90,,3,,84,,3,,80,,3,,87,,81,,209,,36,,
037404,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037405,1,,1,,79,,1,,73,,1,,71,,1,,75,,64,,91,,16,,
037410,Not Available,11,Not Available,11,76,11,Not Available,11,69,11,Not Available,11,50,11,Not Available,11,63,11,55,11,23,11,14,11,11
037412,5,,5,,92,,4,,91,,5,,90,,4,,87,,91,,87,,34,,
037413,2,,1,,78,,2,,78,,3,,81,,1,,81,,66,,71,,24,,
037414,1,,2,,81,,1,,74,,1,,62,,1,,72,,58,,164,,10,,
037416,4,,4,,90,,4,,89,,4,,84,,4,,87,,86,,226,,36,,
037417,3,,4,,88,,3,,84,,3,,80,,3,,85,,76,,136,,21,,
037418,3,,4,,90,,2,,84,,2,,76,,3,,86,,82,,176,,18,,
037419,Not Available,9,Not Available,9,78,9,Not Available,9,78,9,Not Available,9,56,9,Not Available,9,73,9,90,9,10,9,24,9,9
037421,3,,3,,86,,3,,85,,3,,82,,2,,81,,70,,145,,18,,
037422,3,,4,,87,,2,,81,,2,,72,,2,,79,,70,,121,,11,,
037423,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037424,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037425,3,11,4,11,90,11,3,11,80,11,2,11,77,11,2,11,81,11,46,11,45,11,14,11,11
037426,Not Available,11,Not Available,11,83,11,Not Available,11,77,11,Not Available,11,69,11,Not Available,11,74,11,50,11,35,11,13,11,11
037431,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037432,Not Available,11,Not Available,11,79,11,Not Available,11,79,11,Not Available,11,84,11,Not Available,11,76,11,58,11,36,11,11,11,11
037433,1,,2,,82,,1,,79,,1,,68,,1,,75,,73,,98,,19,,
037434,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037436,3,,4,,89,,3,,85,,3,,83,,3,,86,,73,,159,,24,,
037437,3,11,3,11,84,11,2,11,77,11,4,11,85,11,2,11,78,11,71,11,66,11,20,11,11
037438,2,,3,,85,,1,,74,,2,,72,,2,,78,,65,,88,,18,,
037439,3,,2,,83,,2,,79,,3,,81,,3,,78,,70,,111,,22,,
037440,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037441,3,,4,,88,,2,,81,,2,,74,,3,,83,,70,,146,,17,,
037442,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037443,Not Available,11,Not Available,11,80,11,Not Available,11,72,11,Not Available,11,76,11,Not Available,11,75,11,48,11,15,11,24,11,11
037445,Not Available,11,Not Available,11,100,11,Not Available,11,96,11,Not Available,11,90,11,Not Available,11,100,11,100,11,13,11,22,11,11
037446,3,,4,,88,,3,,85,,3,,80,,2,,79,,69,,123,,30,,
037447,4,,4,,91,,4,,88,,4,,85,,4,,87,,81,,161,,33,,
037450,3,,4,,87,,3,,86,,3,,83,,3,,86,,79,,304,,32,,
037451,2,,2,,83,,2,,82,,2,,77,,1,,78,,69,,195,,35,,
037452,3,11,3,11,88,11,4,11,86,11,2,11,79,11,3,11,83,11,75,11,49,11,24,11,11
037453,Not Available,11,Not Available,11,84,11,Not Available,11,75,11,Not Available,11,66,11,Not Available,11,92,11,80,11,30,11,15,11,11
037454,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
